
🔍 Finding places without Instagram handles...

Found 443 places without Instagram:

SLUG                          | NAME
kippered                      | Kippered
kissaten-corazon              | Kissaten Corazon
kodo-downtown-los-angeles     | kodo
komal-south-los-angeles       | KOMAL
kombu-sushi                   | Kombu Sushi
kotoya-japanese-ramen-palms   | KOTOYA JAPANESE RAMEN
kteam-bbq-koreatown           | KTEAM BBQ
kuku-cafe-inglewood           | KUKU Cafe
kyung-s-seafood               | Kyung's Seafood
la-b-te-noire                 | La Bête Noire
la-bouche                     | La Boucherie
la-cabana-venice-venice       | La Cabana Venice
la-cocina-de-do-a-esthela     | La Cocina de Doña Esthela
la-fe                         | La Fe
la-flama-culver-city-palms    | LA FLAMA Culver City
la-fonda-of-inglewood-restaurant-cafe-inglewood| La Fonda Of Inglewood Restaurant & Cafe
el-korita-castle-rock         | La korita tacos
la-mariana-sailing-club       | La Mariana Sailing Club
la-pergoletta-restaurant-and-deli| La Pergoletta
la-pergoletta-on-sunset       | La Pergoletta on Sunset
la-potranka-compton           | La Potranka
la-purepecha-cocina-mexicana-downtown| LA PUREPECHA COCINA MEXICANA
lalibela-little-ethiopia      | Lalibela
lamonica-s-ny-pizza           | Lamonica's NY Pizza
laurel-grill-downtown         | Laurel Grill
le-great-outdoor-restaurant-pico| Le Great Outdoor Restaurant
leona-venice                  | Leona
les-sisters-southern-kitchen-winnetka| Les Sisters' Southern Kitchen
lincoln-seafood-monterey-park | Lincoln Seafood
little-belize-restaurant-inglewood| Little Belize Restaurant
little-fatty-mar-vista        | Little Fatty
little-fish-echo-park-echo-park| Little Fish Echo Park
super-rad-sub-shop            | Little Piggy
liu-s-cafe-koreatown          | Liu's Cafe
fish-n-beer                   | Lobster & Beer
lolo-wine-bar-restaurant      | lolo wine bar
longo-seafood-restaurant-garvey| Longo Seafood Restaurant
lonzo-s-restaurant-washington-culver| Lonzo's Restaurant
loreto-elysian-valley         | Loreto
loreto-s-fried-turkey-compton | Loreto's Fried Turkey
los-angeles-p-tanque-club     | Los Angeles Pétanque Club
los-cheros-pupuseria-gardena  | Los Cheros Pupuseria
louis-burgers-ii-compton      | Louis Burgers II
love-salt-manhattan-beach     | Love & Salt
lucky-1-restaurant-garvey     | Lucky 1 Restaurant
lucky-plaza-rosemead          | Lucky Plaza
lukshon-mid-city              | Lukshon
lulu-restaurant-la-westwood   | LULU Restaurant LA
lumi-re-century-city          | Lumière
maccheroni-republic-downtown-los-angeles| Maccheroni Republic
madeo-restaurant              | Madeo Restaurant
magokoro                      | Magokoro
maison-kitsun-los-angeles     | Maison Kitsuné Los Angeles
majordomo-central-la          | Majordomo
mamie-italian-kitchen         | Mamie
manhattan-beach-post-manhattan-beach| Manhattan Beach Post
manuela                       | Manuela
maple-block-meat-co-clarkdale | Maple Block Meat Co.
osteria-marco                 | Marco Polo
margot-lucerne-higuera        | Margot
marina-del-rey-hotel-marina-del-rey| Marina Del Rey Hotel
mario-s-italian-deli-market   | Mario's Italian Deli & Market
mariscos-y-sushi-los-tomateros| Mariscos y Sushi Tomateros
marouch-restaurant            | Marouch Restaurant
marugame-monzo-downtown-los-angeles| Marugame Monzo
master-burger                 | Master Burger
mazal                         | Mazal
meals-by-genet                | Meals By Genet
m-lisse-restaurant-downtown   | Mélisse Restaurant
d-corazon-mexican-restaurant  | Mi Corazon Mexican Cuisine
mian-san-gabriel              | MIAN
mian-west-adams-los-angeles   | MIAN West Adams
michael-s                     | Michaels
mignon                        | Mignon
mikaza-nikkei-sushi           | Mikaza Sushi & Lounge
milo-olive-northeast          | Milo & Olive
mitch-s-fish-market-sushi-bar | Mitch's Fish Market & Sushi Bar
mizlala-west-adams-los-angeles| Mizlala West Adams
monorom-cambodian-restaurant-cambodia-town| Monorom Cambodian Restaurant
monte-alban-restaurant-sawtelle| MONTE ALBAN RESTAURANT
monterey-palace-restaurant-garvey| Monterey Palace Restaurant
mori-nozomi-sawtelle          | Mori Nozomi
mori-sushi                    | Mori Sushi
mt-olomana-trail-three-peaks  | Mt. Olomana Trail (Three Peaks)
muelle-3                      | Muelle 3
the-pier-house                | Nalu Vida Venice Beach
nbc-seafood-restaurant-monterey-park| NBC Seafood Restaurant
newcomb-s-ranch               | Newcomb's Ranch
newport-seafood-restaurant-san-gabriel| Newport Seafood Restaurant
nick-s-cafe                   | Nick's Cafe
night-market-weho-sunset-strip| Night + Market Weho
object                        | Object
oc-lau-restaurant-garden-grove| Oc & Lau Restaurant
ocean-bo-dim-sum-cafe-el-monte| Ocean Bo Dim Sum Cafe
oh-la-la-cafe-bakery-kitchen  | OH LA LA
ohana-superette               | Ohana Superette
restaurant-olivia             | Olivia Restaurant
open-sesame-grill-long-beach-belmont-shore| Open Sesame Grill - Long Beach
ora-south-los-angeles         | ORA
orleans-york-inglewood-inglewood| Orleans & York Inglewood
orsa-winston-downtown-los-angeles| Orsa & Winston
ospi-venice-venice            | Ospi Venice
otomisan-restaurant           | Otomisan Restaurant
p1                            | P1
palmeri-ristorante            | Palmeri Ristorante
parkers-lighthouse-waterfront | Parkers' Lighthouse
pasta-sisters                 | Pasta Sisters
paul-bar-food                 | Paul Bar/Food
pearl-river-deli              | Pearl River Deli
peking-tavern                 | Peking Tavern
pepper-tavern-san-gabriel     | Pepper Tavern 四川集市
perilla-la                    | Perilla LA
peru-chicha-peruvian-restaurant-gardena| PERU CHICHA PERUVIAN RESTAURANT.
petit-trois                   | Petit Trois
petite-peso                   | Petite Peso
phat-noodles-compton          | Phat Noodles
phillips-bar-b-que-inglewood  | Phillips Bar-B-Que
phnom-penh-noodle-shack-whittier| Phnom Penh Noodle Shack
phorage-vietnamese-overland-westside-village| Phorage Vietnamese Overland
pinky-s-los-feliz             | Pinky's Los Feliz
pinyon-ojai                   | Pinyon Ojai
pizzana-silver-lake           | Pizzana
pizzeria-bianco-downtown-los-angeles| Pizzeria Bianco
pizzeria-mozza-melrose        | Pizzeria Mozza
pizzeria-sei-pico-robertson   | Pizzeria Sei
shangri-la-rick-rubin-s-recording-studio| Polaris Media Lab
pollo-a-la-brasa-koreatown    | Pollo A La Brasa
pop-s-chicken-compton         | Pop's Chicken
porta-via-italian-foods-south-arroyo| Porta Via Italian Foods
post-beam-south-los-angeles   | Post & Beam
potager                       | Potager
premiere-dental-group         | Premiere Dental Group
primitivo-restaurante         | Primitivo Restaurante
q-downtown-los-angeles        | Q
quarters-korean-bbq-koreatown | Quarters Korean BBQ
quintas-papagayo              | Quintas Papagayo
r-10-social-house-south-redondo| R/10 Social House
rainforest-flora              | Rainforest Flora, Inc.
elf-cafe                      | Ramona Room
rangoon-burmese-kitchen       | Rangoon Burmese kitchen
rasarumah-westlake            | Rasarumah
rasselbock-kitchen-beer-garden-bixby-knolls| Rasselbock Kitchen & Beer Garden
ray-s-texas-bbq-huntington-park| Ray's Texas Bbq
redbird-downtown-los-angeles  | Redbird
restaurant-ki-downtown-los-angeles| Restaurant Ki
revival-denver-public-house   | Revival Denver Public House
rhythm-room-l-a               | Rhythm Room L.A.
roasted-duck-by-pa-ord-east-hollywood| Roasted Duck by Pa Ord
roma-market-bungalow-heaven   | Roma Market
ronan-fairfax                 | Ronan
ronnie-s-diner                | Ronnie's Diner
rory-s-place                  | Rory Fashion
royal-lobster-la              | Royal Lobster LA
rustic-canyon-wilshire-montana| Rustic Canyon
rusty-pot-caf-inglewood       | Rusty Pot Café
rvr-venice                    | RVR
sakae-sushi-gardena           | Sakae Sushi
sakura-ya-gardena             | Sakura-Ya
santa-canela-highland-park    | Santa Canela
sarita-s-pupuseria            | Sarita's Pupuseria
safta                         | Savta
sea-harbour-seafood-restaurant-rosemead| Sea Harbour Seafood Restaurant
senia                         | Senia
seong-buk-dong-koreatown      | Seong Buk Dong
shin-sen-gumi-chanko-gardena-northeast-torrance| Shin-Sen-Gumi Chanko - Gardena
shin-sen-gumi-shabu-shabu-gardena| Shin-Sen-Gumi Shabu-Shabu
shins-pizza                   | Shins Pizza
shirub-downtown               | Shirubē
si-mon-venice                 | Si! Mon
sichuan-impression            | Sichuan Impression
sichuan-impression-alhambra   | Sichuan Impression
sichuan-impression-city-of-industry| Sichuan Impression 锦城里
sichuan-spicy-bay-alhambra    | Sichuan Spicy Bay
sichuan-street-food-pasadena  | Sichuan Street Food (当代川菜)
side-street-inn-on-da-strip   | Side Street Inn On Da Strip
simply-wholesome-south-los-angeles| Simply Wholesome
smoke-and-fire-social-eatery-paramount| Smoke and Fire Social Eatery
somerville-south-los-angeles  | Somerville
sonido-del-valle              | Sonido Del Valle
south-la-cafe-south-los-angeles| South LA Cafe
spartina                      | Spartina
spina                         | Spina
steelcraft-long-beach         | SteelCraft Long Beach
stir-crazy                    | Stir Crazy
stuff-i-eat-inglewood         | Stuff I Eat
sunday-gravy-inglewood        | Sunday Gravy
sunnin-lebanese-cafe-westwood | Sunnin Lebanese Cafe
surfas-culinary-district      | Surfas Culinary District
sushi-ike                     | Sushi Ike
sushi-n-matcha-sho            | Sushi n Matcha Sho
sushi-sonagi-gardena          | Sushi Sonagi
sushi-takeda                  | Sushi Takeda
sushi-tama                    | Sushi Tama
sweet-rice-gardena            | Sweet Rice
tacos-fenix-fish-shrimp       | Tacos Fenix (Fish & Shrimp)
tam-s-noodle-house-san-gabriel| Tam's Noodle House
tamaler-a-la-do-a-east-compton| Tamalería La Doña
taormina-sicilian-cuisine     | Taormina Sicilian Cuisine
taqueria-frontera-northeast-los-angeles| Taqueria Frontera
taqueria-vista-hermosa        | Taqueria Vista Hermosa
taste-of-tehran-restaurant    | Taste of Tehran Restaurant
tavernetta                    | TAVERNA at The Mar Vista
the-apple-pan                 | The Apple Pan
the-arthur-j-manhattan-beach  | The Arthur J
the-bazaar-by-jos-andr-s      | The Bazaar by Jose Andres
the-beet-box-cafe             | The Beet Box Cafe
the-belasco                   | The Belasco
the-blue-hole-restaurant-belizean-caribbean-cuisine-gardena| The Blue Hole Restaurant Belizean Caribbean Cuisine
the-breakers-palm-beach       | The Breakers Palm Beach
brasserie-brixton             | The Brixton
the-brothers-sushi-culver-city-downtown| The Brothers Sushi Culver City
the-cheese-store-of-beverly-hills| The Cheese Store of Beverly Hills
the-chori-man                 | The Chori-Man
the-crawford-hotel            | The Crawford Hotel
the-factory-kitchen-downtown-los-angeles| The Factory Kitchen
the-framing-house-design      | The Framing House Design
the-italian-deli-co-pasadena  | The Italian Deli Co.
the-living-room               | The Living Room
the-meeting-spot-south-los-angeles| The MEETING SPOT
the-mulberry-la-sawtelle      | The Mulberry LA
the-original-rinaldi-s-deli-cafe| The Original Rinaldi's Deli and Cafe
the-palms-mar-vista           | The Palms
the-paramour-estate-silver-lake| The Paramour Estate
the-pig-and-the-lady          | The Pig and The Lady
the-rooster                   | The Rooster
the-rose-venice-venice        | The Rose Venice
the-seafood-shop-gourmet-charcuterie| The Seafood Shop Gourmet & Charcuterie
the-slate-denver-tapestry-collection-by-hilton| The Slate Hotel Denver Downtown, Tapestry by Hilton
with-others                   | The Way We Wore
the-wolf-s-tailor             | The Wolf's Tailor
tienda-de-quesos-y-vinos-los-globos| Tienda de Quesos y Vinos Los Globos
tilda                         | Tilda
tito-s-tacos-clarkdale        | Tito’s Tacos
toranj-restaurant-westwood    | Toranj Restaurant
toshi-sushi-gardena           | TOSHI SUSHI
tripp-burgers                 | Tripp Burgers
twelves                       | Twelves
two-homm-s-inglewood          | Two Hommés
ucla-mildred-e-mathias-botanical-garden| UCLA Mathias Botanical Garden
uka-central-la                | UKA
uncle-bill-s-pancake-house    | Uncle Bill's Pancake House
uncle-mac-s-kitchen-gardena   | Uncle Mac’s Kitchen
union-restaurant-old-pasadena | Union Restaurant
uovo-pasadena-pasadena        | UOVO | Pasadena
us-thai-cafe                  | US Thai Cafe
valle-omakase-by-chef-quindere| Valle Omakase by Chef Quindere
bistro-vend-me                | Vendome Wines & Spirits
veronica-s-kitchen-the-fufuland-inglewood| Veronica's Kitchen - The Fufuland
wagyu-butcher-japanese-bbq-northeast-torrance| Wagyu Butcher Japanese BBQ
wah-sing-dim-sum-san-gabriel  | Wah Sing Dim Sum
55831-ca-62                   | West 62nd Street
whole-foods-market            | Whole Foods Market
wilson-harding-driving-range  | Wilson Harding Driving Range
xiang-la-hui                  | Xiang La Hui
xuntos-downtown               | XUNTOS
yang-s-kitchen                | Yang's Kitchen
yongsusan-restaurant-koreatown| Yongsusan Restaurant
yunomi-handroll-downtown-los-angeles| Yunomi Handroll
grand-harbor-temple-city      | 凱悦 Grand Harbor
chengdu-impression-arcadia    | 成都映象 Chengdu Impression
sushi-kisen                   | 江戸前鮨 㐂扇 Sushi Kisen

💡 Tip: Create a JSON file with updates:
   [
     { "slug": "place-slug", "instagram": "handle" },
     { "slug": "another-place", "instagram": "handle" }
   ]

   Then run: node scripts/update-instagram.js --update data.json

