slug,name
la-pergoletta-on-sunset,La Pergoletta on Sunset
unknown-92fbcfa9,La Popular Hollywood
unknown-7d2eb333,La Pupusa Urban Eatery
unknown-8bbc9828,La Serenata Cantina
lamonica-s-ny-pizza,Lamonica's NY Pizza
fish-n-beer,Lobster & Beer
unknown-da7f1b4f,Lodge Bread Company
unknown-3596cb7a,Los 5 Puntos
unknown-4e1a416f,Los Angeles Fish Co
los-angeles-p-tanque-club,Los Angeles Pétanque Club
maison-kitsun-los-angeles,Maison Kitsuné Los Angeles
unknown-0cc12129,Manila Inasal
osteria-marco,Marco Polo
master-burger,Master Burger
maury-s,Maury's
unknown-9a86944a,McConnell's Fine Ice Creams - GCM
meals-by-genet,Meals By Genet
unknown-3c566a87,Mel's Fish Shack
d-corazon-mexican-restaurant,Mi Corazon Mexican Cuisine
mian-west-adams-los-angeles,MIAN West Adams
mignon,Mignon
mikaza-nikkei-sushi,Mikaza Sushi & Lounge
mizlala-west-adams-los-angeles,Mizlala West Adams
mori-sushi,Mori Sushi
myungin-dumplings,Myung In Dumplings
nick-s-cafe,Nick's Cafe
nitethyme-wine-bar,NiteThyme Wine Bar
unknown-08d66bc2,NO NAME
now-serving,Now Serving
object,Object
restaurant-olivia,Olivia Restaurant
ora-south-los-angeles,ORA
oriel-chinatown,Oriel Chinatown
p1,P1
palmeri-ristorante,Palmeri Ristorante
unknown-43d79ae9,Pavo Real Jewelry Plaza
peking-tavern,Peking Tavern
petite-peso,Petite Peso
pinky-s-los-feliz,Pinky's Los Feliz
unknown-49037940,Pitfire Pizza
unknown-242b54e5,Playita Mariscos
shangri-la-rick-rubin-s-recording-studio,Polaris Media Lab
poquito-m-s,Poquito Más
post-beam-south-los-angeles,Post & Beam
post-and-beam-south-los-angeles,Post+Beam
providence,Providence
unknown-32966686,Puerto Nuevo Coffee
unknown-bd8a6afb,Pupuseria la Bendición
rhythm-room-l-a,Rhythm Room L.A.
noble-riot,Riot Games Inc.
rita-s-deluxe,Rita’s Deluxe
unknown-e21b7184,Rock & Brews
ronnie-s-diner,Ronnie's Diner
unknown-6ad4b94f,Salt & Straw
sarita-s-pupuseria,Sarita's Pupuseria
safta,Savta
unknown-31727a23,Shabuya Los Angeles
shins-pizza,Shins Pizza
sichuan-impression,Sichuan Impression
simply-wholesome-south-los-angeles,Simply Wholesome
sonido-del-valle,Sonido Del Valle
south-la-cafe-south-los-angeles,South LA Cafe
south-la-cafe-south-los-angeles-2,South LA Cafe
spartina,Spartina
stereoscope-coffee,Stereoscope Coffee
unknown-82bd6f42,Stories
unknown-40f392c7,SUGARFISH by sushi nozawa
sushi-ike,Sushi Ike
sushi-n-matcha-sho,Sushi n Matcha Sho
swift-cafe-south-los-angeles,Swift Cafe
tabula-rasa,Tabula Rasa Bar
unknown-f9c1610e,Taco Zone Truck
unknown-bbc052c1,tacos El Korita
unknown-3001fd44,Tacos El Unico
unknown-afce21f2,Tacos Gavilan
unknown-52574c14,Tacos Los Gueros LA
tacos-los-guichos,Tacos Los Guichos
tacos-estilo-df,Tacos Los Poblanos #1 Estilo Tijuana
unknown-8fa1bc36,Tacos Mexico
tacos-tamix-truck-3,Tacos Tamix Mexican food truck
unknown-9a1a3f88,Tacos y Birria La Unica
tams-burger,Tam's Burger
tams-burger-south-los-angeles,Tam's Burgers
tacos-tamix-truck-1,Tamix Mexican food truck
taqueria-vista-hermosa,Taqueria Vista Hermosa
tavernetta,TAVERNA at The Mar Vista
magokoro-del-valle,Tesoro Del Valle
unknown-89d38f9f,The Arsenal
the-bazaar-by-jos-andr-s,The Bazaar by Jose Andres
beckon-five-points,The Beacon
the-belasco,The Belasco
the-framing-house-design,The Framing House Design
the-living-room,The Living Room
the-living-room-south-los-angeles,The Living Room DTLA
unknown-3ca79fa8,The Mermaid
the-original-rinaldi-s-deli-cafe,The Original Rinaldi's Deli and Cafe
the-red-lion-tavern,The Red Lion Tavern
the-rooster,The Rooster
with-others,The Way We Wore
the-wine-house,The Wine House
tilda,Tilda
tire-shop-taqueria-south-los-angeles,Tire Shop Taqueria
trinistyle-cuisine-south-los-angeles,Trinistyle Cuisine
tripp-burgers,Tripp Burgers
ucla-mildred-e-mathias-botanical-garden,UCLA Mathias Botanical Garden
unknown-d35f6509,Vince's Market
unknown-0c7803d4,Vincenti Ristorante
unknown-e937a314,Wahoo's
walt-s-bar,Walt’s Bar
55831-ca-62,West 62nd Street
whole-foods-market,Whole Foods Market
wilson-harding-driving-range,Wilson Harding Driving Range
unknown-c9c57f88,Yard House
unknown-e5fd928f,ZAZU BEAUTY SALON

--- Summary ---
Total uncovered places: 173
Total LA places: 434
Coverage: 261/434 (60%)
