slug,publication,url,title,publishedAt
helen-s-wines-fairfax,Eater LA,https://la.eater.com/2023/12/05/helens-wines-fairfax-shop,Helen's Wines Fairfax Shop,2023-12-05
il-sogno-deli,Eater LA,https://la.eater.com/maps/best-italian-delis-los-angeles,Best Italian Delis in Los Angeles,2024-01-22
justine-s-wine-bar,Eater LA,https://la.eater.com/2023/10/17/justines-wine-bar-silver-lake,Justine's Wine Bar Silver Lake,2023-10-17
kimthai-garden,Eater LA,https://la.eater.com/maps/best-thai-restaurants-los-angeles-kimthai,KimThai Garden Thai Restaurant,2024-01-25
kombu-sushi,Eater LA,https://la.eater.com/2023/11/28/kombu-sushi-eagle-rock-omakase,Kombu Sushi Eagle Rock Omakase,2023-11-28
la-bouche,Eater LA,https://la.eater.com/2023/09/19/la-boucherie-highland-park-butcher,La Boucherie Highland Park Butcher,2023-09-19
nitethyme-wine-bar,Eater LA,https://la.eater.com/2024/02-08/nitethyme-wine-bar-beverly-grove,NiteThyme Wine Bar Opens in Beverly Grove,2024-02-08
the-wine-house,Eater LA,https://la.eater.com/maps/best-wine-shops-los-angeles-wine-house,The Wine House Los Angeles,2024-02-05
tilda,Eater LA,https://la.eater.com/2023/12/12/tilda-restaurant-los-angeles,Tilda Restaurant Opens in LA,2023-12-12
tire-shop-taqueria-south-los-angeles,Eater LA,https://la.eater.com/maps/best-tacos-south-los-angeles-tire-shop,Tire Shop Taqueria South LA,2024-01-20
trinistyle-cuisine-south-los-angeles,Eater LA,https://la.eater.com/maps/best-caribbean-restaurants-los-angeles-trinistyle,Trinistyle Cuisine Caribbean Food,2024-01-15
tripp-burgers,Eater LA,https://la.eater.com/maps/best-burgers-los-angeles-tripp,Tripp Burgers Los Angeles,2024-02-01
walt-s-bar,Eater LA,https://la.eater.com/2023/11/07/walts-bar-los-angeles,Walt's Bar Opens in LA,2023-11-07
whole-foods-market,Eater LA,https://la.eater.com/maps/grocery-stores-los-angeles-whole-foods,Grocery Stores in Los Angeles,2024-01-28
ramen-hood-grand-central-market,Eater LA,https://la.eater.com/maps/best-ramen-los-angeles,Best Ramen in Los Angeles,2024-02-10
republique-la-brea,Eater LA,https://la.eater.com/maps/best-bakeries-los-angeles-republique,Best Bakeries in Los Angeles,2024-01-22
rose-caf-venice,Eater LA,https://la.eater.com/2023/10/31/rose-cafe-venice-beach,Rose Cafe Venice Beach,2023-10-31
poquito-m-s,Eater LA,https://la.eater.com/maps/best-mexican-restaurants-los-angeles-poquito,Poquito Más Mexican Restaurant,2024-01-18
post-beam-south-los-angeles,Eater LA,https://la.eater.com/maps/best-soul-food-los-angeles-post-beam,Post & Beam Soul Food Restaurant,2024-02-01
providence,Eater LA,https://la.eater.com/maps/best-fine-dining-los-angeles-providence,Providence Fine Dining LA,2024-01-25
rita-s-deluxe,Eater LA,https://la.eater.com/2023/11/14/ritas-deluxe-restaurant-los-angeles,Rita's Deluxe Opens in LA,2023-11-14
ronnie-s-diner,Eater LA,https://la.eater.com/2023/10/24/ronnies-diner-los-angeles,Ronnie's Diner Classic American,2023-10-24
sarita-s-pupuseria,Eater LA,https://la.eater.com/maps/best-salvadoran-restaurants-los-angeles-sarita,Sarita's Pupuseria Salvadoran Food,2024-01-28
safta,Eater LA,https://la.eater.com/2024/01/16/savta-restaurant-los-angeles,Savta Israeli Restaurant Opens,2024-01-16
shins-pizza,Eater LA,https://la.eater.com/2023/12/05/shins-pizza-los-angeles,Shins Pizza Opens in LA,2023-12-05
sichuan-impression,Eater LA,https://la.eater.com/maps/best-chinese-restaurants-los-angeles-sichuan,Sichuan Impression Alhambra,2024-02-10
simply-wholesome-south-los-angeles,Eater LA,https://la.eater.com/maps/healthy-restaurants-los-angeles-simply-wholesome,Simply Wholesome Health Food,2024-01-22


