Name,Instagram,Confidence,Method,Notes,GooglePlaceID,Latitude,Longitude,Address,Neighborhood,Phone,Website
Baja Subs Market & Deli,,manual_review,none,Could not find handle automatically,ChIJoUefmK2bwoARMQzl_Y6VKfE,34.2309284,-118.5365073,"8801 Reseda Blvd Suite A, Northridge, CA 91324, USA",Northridge,(818) 993-7064,
Banadir Somali Restaurant,,manual_review,none,Could not find handle automatically,ChIJk069ofy2woARnugK5TYbZns,33.9528576,-118.3565905,"137 Arbor Vitae St, Inglewood, CA 90301, USA",Inglewood,(310) 419-9900,https://order.banadirsomalirestaurant.com/
Beckon,,manual_review,none,Could not find handle automatically,ChIJQ_9Q0DJ5bIcRbDAIulshVuY,39.7611853,-104.9823884,"2843 Larimer St, Denver, CO 80205, USA",Five Points,(303) 749-0020,https://www.beckon-denver.com/
Beethoven Market,,manual_review,none,Could not find handle automatically,ChIJlwU_uvC6woAR9hXvi7zlRSg,34.0061566,-118.4463978,"12904 Palms Blvd, Los Angeles, CA 90066, USA",Mar Vista,(323) 579-1391,https://www.beethovenmarket.com/
Belizean Fish Market,,manual_review,none,Could not find handle automatically,ChIJ11w60nK4woARd0i6OLGVLWk,34.0314083,-118.3087944,"2640 1, S Western Ave #2, Los Angeles, CA 90018, USA",South Los Angeles,(323) 732-5405,
Big Ma's Kitchen,,manual_review,none,Could not find handle automatically,ChIJmbFNBQDRwoARSVBb1yuzaKo,34.0623591,-118.0991311,"7808 Garvey Ave, Rosemead, CA 91770, USA",Garvey,(626) 898-9189,
Blossom Market Hall,,manual_review,none,Could not find handle automatically,ChIJNYfgeWTbwoAR5w88nWidWdk,34.0989653,-118.1089682,"264 S Mission Dr, San Gabriel, CA 91776, USA",San Gabriel,(626) 385-7395,https://www.blossommarkethall.com/
Bodega Los Alamos,,manual_review,none,Could not find handle automatically,ChIJI3YloS8F7IARjmUOKtofEyw,34.7443996,-120.2817502,"273 Bell St, Los Alamos, CA 93440, USA",Los Alamos,,http://www.bodegalosalamos.com/
BRUTO,,manual_review,none,Could not find handle automatically,ChIJabPzMvx5bIcRuR-TMXhM1xQ,39.7527783,-104.996991,"1801 Blake St, Denver, CO 80202, USA",Ballpark District,(720) 325-2195,http://brutodenver.com/
Bunkado,,manual_review,none,Could not find handle automatically,ChIJdXcI6UfGwoARraVwugjH_EA,34.0496083,-118.2399976,"340 1st St, Los Angeles, CA 90012, USA",Downtown Los Angeles,(213) 625-1122,http://bunkadoonline.com/
Burritos La Palma,,manual_review,none,Could not find handle automatically,ChIJxztAvPDZwoARUKqI04RO2uE,34.0957961,-118.0117699,"5120 Peck Rd, El Monte, CA 91732, USA",El Monte,(626) 350-8286,http://burritoslapalma.com/
BusterPro Tennis,,manual_review,none,Could not find handle automatically,ChIJIRJIYl-7woARrGyWRtFkPMs,34.0527761,-118.4669952,"11740 San Vicente Blvd, Los Angeles, CA 90049, USA",Brentwood,(310) 820-6140,http://www.busterpro-la.com/
Cafe Brasil,,manual_review,none,Could not find handle automatically,ChIJiTO4Zmu6woARQlFhLHypBlk,33.9993358,-118.4182922,"11736 Washington Blvd, Los Angeles, CA 90066, USA",Culver - West,(310) 391-1216,https://www.cafe-brasil.com/
Café Haleiwa,,manual_review,none,Could not find handle automatically,ChIJ_cU8f8NfAHwRLvbpmTPs87s,21.5812977,-158.1049804,"66-460 Kamehameha Hwy, Haleiwa, HI 96712, USA",North Shore,(808) 637-5516,https://www.cafehaleiwahawaiianislands.com/
CAFÉ TRISTE,,manual_review,none,Could not find handle automatically,ChIJ73hyWfbHwoAR3OQuokZzo2M,34.0663681,-118.2359281,"980 N Broadway, Los Angeles, CA 90012, USA",Central LA,(213) 278-0820,http://www.cafetristela.com/
Camphor,,manual_review,none,Could not find handle automatically,ChIJNW1lfmzHwoARxzp7unjgv-0,34.0466391,-118.2342018,"923 E 3rd St Suite 109, Los Angeles, CA 90013, USA",Downtown Los Angeles,(213) 626-8888,http://www.camphor.la/
Capital Dim Sum & BBQ,,manual_review,none,Could not find handle automatically,ChIJFVTNA13FwoARKVMsmhJZP5g,34.0631952,-118.1328893,"727 W Garvey Ave, Monterey Park, CA 91754, USA",Monterey Park,(626) 289-6338,
"Capital Seafood, Monterey Park",,manual_review,none,Could not find handle automatically,ChIJk-6gEWDFwoARrNY5QouRCjE,34.0635949,-118.1331275,"755 W Garvey Ave, Monterey Park, CA 91754, USA",Monterey Park,(626) 282-3318,https://spectrum.capital-seafood.com/
Captain Kidd's Fish Market & Restaurant,,manual_review,none,Could not find handle automatically,ChIJfWsLeqC0woARoOS54MfSZLc,33.843444,-118.3923595,"209 N Harbor Dr, Redondo Beach, CA 90277, USA",South Redondo,(310) 372-7703,http://www.captainkidds.com/
Carlitos Gardel Argentine Steakhouse,,manual_review,none,Could not find handle automatically,ChIJSfKeA8y-woARpP7lY4htzZk,34.0839438,-118.3631913,"7963 Melrose Ave, Los Angeles, CA 90046, USA",Melrose,(323) 655-0891,http://www.carlitosgardel.com/
"Carnes Asadas Pancho Lopez, Mexican Food in Los Angeles CA 🇲🇽",,manual_review,none,Could not find handle automatically,ChIJU5QfL6LHwoARElU2Bdi-hLY,34.0837836,-118.2130832,"3328 Pasadena Ave, Los Angeles, CA 90031, USA",Lincoln Heights,(626) 560-4842,http://carnesasadasorder.online/
Carnitas El Artista,,manual_review,none,Could not find handle automatically,ChIJE-a5Sey2woARIOmT8DcN7fo,33.9694092,-118.355732,"510 N La Brea Ave, Inglewood, CA 90301, USA",Inglewood,(424) 331-5771,http://carnitaselartista.com/
Carnitas el Momo,,manual_review,none,Could not find handle automatically,ChIJecqMJuLFwoARkvNfe3NHxek,34.0461724,-118.1615307,"1470 Monterey Pass Rd, Monterey Park, CA 91754, USA",Monterey Park,(323) 627-8540,https://www.carnitaselmomo.com/
Cassell's Hamburgers,,manual_review,none,Could not find handle automatically,ChIJF5CBt4K4woARq2aAD8eq4Wc,34.063437,-118.300521,"3600 W 6th St, Los Angeles, CA 90020, USA",Koreatown,(213) 387-5502,http://www.cassellshamburgers.com/
CH Y La Birria,,manual_review,none,Could not find handle automatically,ChIJL7t4BM_LwoARLFGh84t0Yl4,33.8871921,-118.2503116,"909 S Central Ave Unit 106, Compton, CA 90220, USA",Compton,(310) 629-2013,http://orderchylabirria.mobile-webview2.com/
Cha Cha Chicken,,manual_review,none,Could not find handle automatically,ChIJKfOrltWkwoARFY0_8tyG-rI,34.0071312,-118.490435,"1906 Ocean Ave, Santa Monica, CA 90405, USA",Ocean Park,(310) 581-1684,http://www.chachachicken.com/
Cheaper by the Dozen House,,manual_review,none,Could not find handle automatically,ChIJ7djZNAC5woARVhldJ8DR6hE,34.0673692,-118.3200526,"357s Lorraine Blvd, Los Angeles, CA 90020, USA",Central LA,,
Chef Tony,,manual_review,none,Could not find handle automatically,ChIJ8ahcKprbwoAR1Z8H2eRvy20,34.1272338,-118.054358,"1108 S Baldwin Ave, Arcadia, CA 91007, USA",Arcadia,(626) 623-6668,https://www.cheftonydimsum.com/
Chez Maggy,,manual_review,none,Could not find handle automatically,ChIJS96maGJ5bIcRJRI1kCMY45Q,39.7499238,-104.997889,"1616 Market St, Denver, CO 80202, USA",Central,(720) 794-9544,https://www.chezmaggydenver.com/?utm_source=google&utm_medium=lastmile&utm_campaign=denth-r-chez
Chifa 國偉,,manual_review,none,Could not find handle automatically,ChIJIU8Bc0_BwoAROGY7LCFmwak,34.1236725,-118.2210263,"4374 Eagle Rock Blvd, Los Angeles, CA 90041, USA",Northeast Los Angeles,(323) 561-3084,https://www.chifa-la.com/
Chong Qing Special Noodles,,manual_review,none,Could not find handle automatically,ChIJ-7B5Vd7awoART5RmRyS4DLI,34.10303,-118.091739,"708 E Las Tunas Dr, San Gabriel, CA 91776, USA",San Gabriel,(626) 374-1849,https://chongqingspecialnoodles.com/
Chong Qing YaoMei Hotpot,,manual_review,none,Could not find handle automatically,ChIJtTEoRlrDwoARWq8fn2pFaXU,34.1447402,-118.1517196,"55 W Green St, Pasadena, CA 91105, USA",South Arroyo,(626) 639-3391,http://www.yaomeipasadena.com/
CJ's Cafe,,manual_review,none,Could not find handle automatically,ChIJy36g3Le5woAREFv1CuWpk2U,34.0199605,-118.3560576,"3655 S La Brea Ave, Los Angeles, CA 90016, USA",South Los Angeles,(323) 292-9221,https://cjs-cafe.shop/
Claro's Italian Market,,manual_review,none,Could not find handle automatically,ChIJPajfY5bawoARjeU-5QOII4U,34.0805217,-118.0862769,"1003 E Valley Blvd, San Gabriel, CA 91776, USA",San Gabriel,(626) 288-2026,https://www.claros.com/
Claro's Italian Markets,,manual_review,none,Could not find handle automatically,ChIJMbq1tcLbwoARJTrSXqHsfq4,34.1402131,-118.0305531,"19 1/2 E Huntington Dr, Arcadia, CA 91006, USA",Arcadia,(626) 446-0275,https://www.claros.com/
Colette Pasadena 人生如戏,,manual_review,none,Could not find handle automatically,ChIJi2XJf4jcwoARuE66qcjm-SU,34.1628965,-118.0683422,"975 N Michillinda Ave, Pasadena, CA 91107, USA",Hastings Ranch,(626) 510-6286,https://www.colettepasadena.com/
Colori Kitchen,,manual_review,none,Could not find handle automatically,ChIJQeJFkLXHwoARzhW_GUAiBio,34.0438915,-118.3010261,"2019 Venice Blvd., Los Angeles, CA 90006, USA",Central LA,(213) 622-5950,http://colorikitchen.com/
Combo A,,manual_review,none,Could not find handle automatically,ChIJB9tHQxzHwoARw-zgu8SFLXo,34.0781042,-118.2569494,"1411 Echo Park Ave #101, Los Angeles, CA 90026, USA",Echo Park,(213) 928-7495,
Common Wave HiFi,,manual_review,none,Could not find handle automatically,ChIJA4HtJQvHwoAR5e60mCEzzes,34.0426209,-118.2253037,"1451 East 4th St Suite 106, Los Angeles, CA 90033, USA",Central LA,(213) 277-4434,http://www.commonwave.net/
Compton's Original Seafood & Chicken,,manual_review,none,Could not find handle automatically,ChIJiS32w0_LwoARewPDXEV2l_4,33.8810147,-118.23617,"1526 S Wilmington Ave, Compton, CA 90220, USA",Compton,(310) 631-8989,https://comptonsoriginalseafood.getbento.com/online-ordering/
Coni’Seafood,,manual_review,none,Could not find handle automatically,ChIJFx55nHq2woARJOWFnj7bnDE,33.9306902,-118.3348748,"3544 1/2, 3544 W Imperial Hwy, Inglewood, CA 90303, USA",Inglewood,(310) 672-2339,https://coniseafood.com/
Creekside Park,,manual_review,none,Could not find handle automatically,ChIJVyNuxSwqw4ARkD4L5pjq2D0,34.0278059,-117.8783938,"780 Creekside Dr, Walnut, CA 91789, USA",Walnut,(909) 598-5605,
Creekside Village,,manual_review,none,Could not find handle automatically,ChIJdZCo9cYg6IARYFg_0XiIyKE,34.144202,-118.6993902,"26527 Agoura Rd, Calabasas, CA 91302, USA",Calabasas,,
Crenshaw Juice Co.,,manual_review,none,Could not find handle automatically,ChIJ_QitLNy5woAR2-GXyQJxAUI,34.0157485,-118.3347516,"3860 Crenshaw Blvd, Los Angeles, CA 90008, USA",South Los Angeles,(323) 528-9020,https://www.crenshawjuice.co/
Crossroads Kitchen,,manual_review,none,Could not find handle automatically,ChIJhZy9Gba-woARQLEEpEN46uw,34.083527,-118.370157,"8284 Melrose Ave, Los Angeles, CA 90046, USA",Melrose,(323) 782-9245,http://www.crossroadskitchen.com/
Crudo e Nudo,,manual_review,none,Could not find handle automatically,ChIJlUEcjcS7woAR2LfLzj32DoM,34.0003308,-118.4821996,"2724 Main St, Santa Monica, CA 90405, USA",Ocean Park,(310) 310-2120,http://www.crudoenudo.com/
Crustees,,manual_review,none,Could not find handle automatically,ChIJQV42vXC3woARZOb7IyDsdQY,33.9886561,-118.3533982,"4442 W Slauson Ave, Los Angeles, CA 90043, USA",South Los Angeles,(323) 815-9910,http://www.crusteeseatery.com/
CVS,,manual_review,none,Could not find handle automatically,ChIJL0ipDCaYwoARIDinkjt2Ih0,34.1578646,-118.4917337,"16461 Ventura Blvd, Encino, CA 91436, USA",Encino,(818) 986-2117,https://www.cvs.com/store-locator/encino-ca-pharmacies/16461-ventura-blvd-encino-ca-91436/storeid=2958?WT.mc_id=LS_GOOGLE_FS_2958
Darya Restaurant,,manual_review,none,Could not find handle automatically,ChIJh-hsb0K7woARBZndLFELEKc,34.0401224,-118.4638585,"12130 Santa Monica Blvd, Los Angeles, CA 90025, USA",Sawtelle,(310) 442-9000,http://www.daryarestaurant.com/
Dha Rae Oak,,manual_review,none,Could not find handle automatically,ChIJE4V_cn24woARWMvbbXPqXgw,34.0505559,-118.3087721,"1106 S Western Ave, Los Angeles, CA 90006, USA",Central LA,(323) 733-2474,
Dim Sum Box,,manual_review,none,Could not find handle automatically,ChIJc6sdf7vbwoAR7F2eRWgnMZ4,34.1041721,-118.0903874,"120 N San Gabriel Blvd G, San Gabriel, CA 91775, USA",San Gabriel,(626) 216-6660,
Dio Mio,,manual_review,none,Could not find handle automatically,ChIJI4KvKhp5bIcRWzWjv3llyWY,39.7648862,-104.9769543,"3264 Larimer St, Denver, CO 80205, USA",Five Points,(303) 562-1965,http://www.diomiopasta.com/
Ditroit Taqueria,,manual_review,none,Could not find handle automatically,ChIJ7ZsyRInHwoARHeKk2NzYgo0,34.033075,-118.2290439,"2117 Violet St, Los Angeles, CA 90021, USA",Downtown Los Angeles,(213) 559-7257,
Don Abel,,manual_review,none,Could not find handle automatically,ChIJmSDf9KXPwoARj0BYd893tXI,34.0190548,-118.1519789,"5458 Whittier Blvd, Los Angeles, CA 90022, USA",South Montebello,(562) 612-5991,https://instagram.com/churrosdonabel?utm_source=ig_profile_share&igshid=178q1knhqf1px
"Donlevy, Estess & Lohiya Oral & Maxillofacial Surgery Group in Los Angeles",,manual_review,none,Could not find handle automatically,ChIJuyjOB82wwoARjpiZ2NQmfUA,33.9601144,-118.395726,"8540 S Sepulveda Blvd #709, Los Angeles, CA 90045, USA",Westchester,(323) 594-8949,http://omsurgery.com/?utm_campaign=gmb
Double Needle Denim Repair,,manual_review,none,Could not find handle automatically,ChIJGzrNYwzEwoARRnlytSi9_4Q,34.1187981,-118.194625,"5668 York Blvd, Los Angeles, CA 90042, USA",Highland Park,(323) 397-5821,https://www.instagram.com/doubleneedledenim/?hl=en
"Dr. Rainier A. Manzanilla, MD",,manual_review,none,Could not find handle automatically,ChIJY1p3mQ3GwoARL3w_EMfaG6k,34.0513785,-118.2171632,"1701 E Cesar E Chavez Ave Suite #125, Los Angeles, CA 90033, USA",Central LA,(323) 441-1122,https://www.adventisthealth.org/white-memorial/provider/rainier-a-manzanilla-md-interventional-cardiology
DRIVER,,manual_review,none,Could not find handle automatically,ChIJ-1ddCc6kfwQRSdXDGG135E8,33.7695193,-118.1897836,"235 E Broadway Suite 800, Long Beach, CA 90802, USA",Downtown Core,(562) 204-6051,http://info.driver.rentals/
Duchess,,manual_review,none,Could not find handle automatically,ChIJ29FAXZHHwoARqevJxFj4jCU,34.0418293,-118.2590182,"312 W Olympic Blvd, Los Angeles, CA 90015, USA",Downtown Los Angeles,(213) 536-5122,
Dudley Market,,manual_review,none,Could not find handle automatically,ChIJZ_afsM66woARNjQ8STDWIhs,33.9942477,-118.4796167,"9 Dudley Ave, Venice, CA 90291, USA",Venice,(310) 392-0825,https://dudleymarketvenice.com/
Dulan's On Crenshaw,,manual_review,none,Could not find handle automatically,ChIJ8XK86I63woARr8aszMpIvGk,33.9985214,-118.3311741,"4859 Crenshaw Blvd, Los Angeles, CA 90043, USA",South Los Angeles,(323) 296-3034,http://www.dulansoulfood.com/
Dumpling House,,manual_review,none,Could not find handle automatically,ChIJGXwtb2THwoAR_MhWomlJzTA,34.0692874,-118.292356,"3525 W 3rd St #6, Los Angeles, CA 90020, USA",Koreatown,(213) 389-3899,https://www.dumplinghouseca.com/
Earle's On Crenshaw,,manual_review,none,Could not find handle automatically,ChIJfzqZfze4woARnrC4q63-YDY,34.0156473,-118.3348118,"3864 Crenshaw Blvd, Los Angeles, CA 90008, USA",South Los Angeles,(323) 299-2867,http://www.earlesrestaurant.com/
Eatalian,,manual_review,none,Could not find handle automatically,ChIJXyA2cYvKwoAR7pOW5ece-WA,33.8909068,-118.2783642,"15500 S Broadway, Gardena, CA 90248, USA",Gardena,(310) 532-8880,https://eataliangroup.com/
El Chucho,,manual_review,none,Could not find handle automatically,ChIJjyyKoPm7woARQmKXDc_jJhA,34.0001685,-118.4412385,"12821 Venice Blvd., Los Angeles, CA 90066, USA",Mar Vista,(310) 437-0538,http://www.thebarelchucho.com/
El Huarique Venice,,manual_review,none,Could not find handle automatically,ChIJVyP89Le6woARpojYG5O96Ok,33.988422,-118.4749344,"1301 Ocean Front Walk, Venice, CA 90291, USA",Venice,(310) 452-1254,https://www.elhuariquevenice.com/
El Prado,,manual_review,none,Could not find handle automatically,ChIJa-yZkxvHwoARF8aDKibbOtw,34.0778909,-118.2595149,"1805 Sunset Blvd, Los Angeles, CA 90026, USA",Echo Park,(323) 905-2739,
El Ruso #1,,manual_review,none,Could not find handle automatically,ChIJ-URtEy_PwoARpHuRchShY4Q,34.1098319,-118.2879275,"2081 Hillhurst Ave, Los Angeles, CA 90027, USA",Central LA,(213) 502-1272,http://elrusola.weebly.com/
