entity_id,name,missing_surfaces,missing_identity_signals,missing_category_context,has_category,has_neighborhood,missing_inputs
1cdd5ed9-2c48-4f10-9d24-def52a85f57c,"California Pizza Kitchen (flag for control group)",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
a92a0825-e3b9-4804-a8b9-3167eba077d8,"Camouflage",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
b5737f7c-5fd1-4a60-90ca-880d0b7e5383,"Casa Bianca Pizza Pie",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
091e2839-d4da-4749-b5c4-1c4dedaa4e47,"Casa Victoria",true,true,true,false,false,"merchant_surfaces|identity_signals|category|neighborhood"
18dee625-b945-4616-a520-fbe72aa6b160,"Central Library Downtown LA",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
cf136e35-cded-4fa1-9d80-ac5340f2a9d4,"CM Chicken",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
46e9c414-ce2b-438a-929d-7b2e242de3c8,"Culver City Plunge",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
24ac3d1b-6fcd-4410-88b7-937c654a1287,"Danny Boy’s Famous Original Pizza",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
230b2847-e4b5-4aa1-b674-353decd7176e,"DeBell Golf Club",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
e6a69d69-4b11-4c20-8a3d-50258f09f2ec,"Dogdrop",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
3dd89ecd-281f-40f3-bf2c-5782cb0c5f9b,"Dover Street Market LA",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
8c5e0d33-be8e-4168-8e16-330f26ecf50a,"Eaton Canyon Trail",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
84eded0a-8999-4464-af83-b6ec1d5ab132,"Echo Park Library",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
29d25565-e806-42b0-994c-15da69ad6b5c,"Echo Park Tennis Courts",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
387c1f3b-68b1-40c2-9c34-6ef88ab31f6b,"El Sereno Recreation Center Fields",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
1af4ffec-0632-48c9-909a-959df2f1d92d,"Encino Golf Course",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
ddf8c41e-5bd0-48f0-a020-58f4e3b9a543,"Expo Center Pool (Robertson Recreation Center)",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
1807dbc3-f3b5-4fdc-92bd-ff13dadd2b6c,"Flour Pizza",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
54928350-190e-444b-bc33-c26ae6f50dd2,"Garage Pizza",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
c93f6d3a-1d46-417f-9d98-9b512d459b63,"Garrett Leight",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
2dc7cb8a-2fbd-42e3-9c2d-1c1ae5b903f9,"Garys Custom Clothing",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
2c7254cb-b141-46b9-b9c9-f60a02580685,"GI Surplus Store",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
ece5d04a-c7fe-430a-8d81-45df2dedef33,"Griffith Park Soccer Fields",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
b5aca000-8f19-440f-beb7-d19e70a9229d,"Griffith Park Tennis Courts",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
964cdde2-8818-4c21-816b-3ed388b83f3c,"Gus's Barbecue",true,true,true,true,false,"merchant_surfaces|identity_signals|neighborhood"
